#######################
##
## License goes here
##
#######################
a	A
aweie	AvAI@
aweien	AvAI@n
awëllege	Av@l@z\@
awëllegen	Av@l@z\@n
awëllegung	Av@l@z\uN
awer	a:v6
awerglaf	a:v6gla:f
awuer	Avu6
awunner	Avun6
awunnerinne	Avun@Rin@
baach	ba:X
baang	ba:N
baarbes	ba:Rb@s
baarf	ba:Rf
baarmhäerzegkeet	ba:RmhE:6ts@s\ke:t
baart	ba:Rt
baartbiischt	ba:Rtbi:St
baasch	ba:S
babbele	bAb@l@
babbelen	bAb@l@n
babysitterinne	bAbi:sit@Rin@
bäcker	b{k6
bäckerei	b{k@RAI
bäckesch	b{k@S
bad	ba:t
badgë	b{dZ@
badge	b{tS
badgen	b{dZ@n
baffe	bAf@
baffen	bAf@n
bagage	bAga:S
bagger	bAg6
bäichelche	b{:Is\@ls\@
bäichelchen	b{:Is\@ls\@n
baichelcher	bAIs\@ls\6
bäiginn	b{:Igin
bäigoe	b{:Igo:@
bäigoen	b{:Igo:@n
bäilafe	b{:Ila:f@
bäilafen	b{:Ila:f@n
bäilagen	b{:Ila:R@n
bäileed	b{:Ile:t
bäiluegt	b{:Ilu@s\t
bäisse	b{:Is@
baisse	b{s
bäissen	b{:Is@n
bäiwunne	b{:Ivun@
bäiwunnen	b{:Ivun@n
bak	ba:k
bake	ba:k@
baken	ba:k@n
bakzant	ba:ktsAnt
bal	ba:l
balkon	bAlkA~:
ball	bAl
ballet	bAle:
ballon	bAlA~:
balucke	bAluk@
balucken	bAluk@n
bam	ba:m
bampele	bAmp@l@
bampelen	bAmp@l@n
bamstamm	ba:mStAm
banal	bAna:l
banane	bAnAn
band	bAnt
bandage	bAnda:S
banditinne	bAnditin@
bänk	b{Nk
bank	bANk
bänke	b{Nk@
banke	bANk@
bänken	b{Nk@n
banken	bANk@n
bankerinne	b{Nk@Rin@
banne	bAn@
bannen	bAn@n
bannendes	bAn@nd@s
bannenhaff	bAn@nhAf
bänner	b{n6
baroninne	bARo:nin@
barrage	bARa:S
barrière	bARiE:R
bascht	bASt
baschte	bASt@
baschten	bASt@n
basis	ba:zis
basketspillerinne	bAsk{tSpil@Rin@
baskett	bAsk{t
bass	bAs
bassistinne	bAsistin@
bastele	bAst@l@
bastelen	bAst@l@n
bastlerinne	bAstl@Rin@
bataklang	bAtAklAN
batter	bAt6
